Title,Description,Source,Published Date,URL
The Most Dangerous People on the Internet in 2024,"From Elon Musk and Donald Trump to state-sponsored hackers and crypto scammers, this was the year the online agents of chaos gained ground.",Wired,2024-12-30T11:30:00Z,https://www.wired.com/story/the-most-dangerous-people-on-the-internet-in-2024/
Geopolitics and AI will affect the chip industry in 2025 | KPMG,"AI is making semiconductor leaders more optimistic about 2025, but headwinds could come from geopolitical and talent retention concerns.",VentureBeat,2024-12-17T05:00:00Z,https://venturebeat.com/ai/geopolitics-and-ai-will-affect-the-chip-industry-in-2025-kpmg/
Moselle Lock Closure: How To Mitigate Supply Chain Disruption,"As a result of the Moselle River accident, this critical waterway is now out of service for many months, which could have economic consequences.",Forbes,2024-12-16T05:00:00Z,https://www.forbes.com/sites/sap/2024/12/16/moselle-lock-closure-how-to-mitigate-supply-chain-disruption/
"NATO is working to reroute data through space, fearing Russia could slice undersea internet cables",Threats to the West's vital communications networks are escalating.,Business Insider,2025-01-02T08:15:01Z,https://www.businessinsider.com/nato-plan-to-defend-undersea-internet-from-sabotage-using-satellites-2025-1
The FDA says the shortage of popular weight loss drug Zepbound is over. Here's what that means for patients.,"The weight loss medication tirzepatide (Mounjaro and Zepbound) is no longer in shortage, according to the FDA. Access to cheaper versions could end.",Business Insider,2024-12-24T21:08:59Z,https://www.businessinsider.com/fda-shortage-of-weight-loss-drug-tirzepatide-zepbound-is-over-2024-12
4 Priorities Businesses Must Master For Success In 2025,"As the business landscape evolves, leaders must focus on supply chain resilience, sustainability, workforce adaptability, and AI-driven innovation to stay competitive.",Forbes,2024-12-22T12:00:00Z,https://www.forbes.com/sites/rhettpower/2024/12/22/4-priorities-businesses-must-master-for-success-in-2025/
Can digital resilience be achieved beyond the IT perimeter?,To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,TechRadar,2024-12-13T15:21:15Z,https://www.techradar.com/pro/can-digital-resilience-be-achieved-beyond-the-it-perimeter
Is Bringing Manufacturing Home Just An American Dream?,Tariffs and Covid-19 supply chain disruptions have made the need for domestic manufacturing more apparent than ever. But manufacturing at home is easier said than done.,Forbes,2024-12-31T22:46:05Z,https://www.forbes.com/sites/greatspeculations/2024/12/31/is-bringing-manufacturing-home-just-an-american-dream/
Blue Yonder ransomware termites claim credit,"Also: Mystery US firm compromised by Chinese hackers for months; Safe links that aren't; Polish spy boss arrested, and more Infosec in brief  Still smarting over that grocery disruption caused by a ransomware attack on supply chain SaaS vendor Blue Yonder? We…",Theregister.com,2024-12-09T03:01:13Z,https://www.theregister.com/2024/12/09/security_in_brief/
ASEAN’s Second Renaissance Is Now,"The COVID-19 pandemic and an increasingly volatile global environment have highlighted supply-chain vulnerabilities that could jeopardize ASEAN’s economic outlook. To reduce these risks, the group, under Malaysia’s chairmanship next year, must diversify its s…",Project Syndicate,2024-12-16T00:05:00Z,https://www.project-syndicate.org/magazine/asean-malaysia-chair-must-strengthen-outside-partnerships-build-supply-chain-resilience-by-anwar-ibrahim-2024-12
